Date,ATM_ID,Event_Type,Event_Detail,Amount,Status,Response_Time(mins)
05-01-2023,ATM_4,Transaction,Dispensing Error,3092.904554,Pending,40
05-01-2023,ATM_4,Maintenance,Successful Transaction,2186.575609,Pending,9
05-01-2023,ATM_4,Error,Routine Maintenance,,Pending,24
05-01-2023,ATM_5,Error,Routine Maintenance,4471.090784,Pending,45
05-01-2023,ATM_5,Error,Cash Loaded,2560.336412,Failed,11
05-01-2023,ATM_5,Transaction,Routine Maintenance,,Failed,43
05-01-2023,ATM_5,Error,Dispensing Error,2390.002693,Failed,55
05-01-2023,ATM_5,Maintenance,Card Reader Error,,Completed,34
05-01-2023,ATM_6,Error,Dispensing Error,,Pending,8
05-01-2023,ATM_6,Transaction,Cash Loaded,2060.566785,Pending,35
05-01-2023,ATM_6,Maintenance,Successful Transaction,,Completed,38
05-01-2023,ATM_7,Error,Card Reader Error,,Failed,60
05-01-2023,ATM_7,Error,Cash Loaded,2963.49636,Failed,43
05-01-2023,ATM_8,Cash Replenishment,Successful Transaction,1023.988196,Failed,52
05-01-2023,ATM_9,Transaction,Dispensing Error,,Completed,14
05-01-2023,ATM_9,Transaction,Card Reader Error,,Failed,13
05-01-2023,ATM_10,Cash Replenishment,Card Reader Error,,Completed,58
05-01-2023,ATM_10,Maintenance,Dispensing Error,1523.534014,Failed,5
05-01-2023,ATM_10,Error,Card Reader Error,2486.314171,Failed,28
05-01-2023,ATM_10,Error,Routine Maintenance,,Pending,27
06-01-2023,ATM_1,Error,Routine Maintenance,,Failed,9
06-01-2023,ATM_2,Transaction,Successful Transaction,,Completed,12
06-01-2023,ATM_3,Cash Replenishment,Dispensing Error,,Completed,22
06-01-2023,ATM_3,Maintenance,Dispensing Error,4988.527008,Completed,47
06-01-2023,ATM_3,Cash Replenishment,Card Reader Error,1508.261026,Failed,42
06-01-2023,ATM_3,Transaction,Dispensing Error,296.476043,Pending,39
06-01-2023,ATM_4,Transaction,Card Reader Error,3174.497414,Pending,34
06-01-2023,ATM_4,Transaction,Card Reader Error,,Failed,39
06-01-2023,ATM_4,Error,Card Reader Error,3455.11369,Pending,48
06-01-2023,ATM_5,Transaction,Card Reader Error,,Pending,25
06-01-2023,ATM_5,Transaction,Successful Transaction,534.9600344,Failed,39
06-01-2023,ATM_5,Error,Routine Maintenance,3943.09692,Completed,57
06-01-2023,ATM_5,Error,Successful Transaction,2757.814361,Pending,56
06-01-2023,ATM_5,Error,Cash Loaded,,Failed,60
06-01-2023,ATM_6,Maintenance,Dispensing Error,1677.174196,Pending,46
06-01-2023,ATM_6,Error,Cash Loaded,,Failed,29
06-01-2023,ATM_7,Transaction,Cash Loaded,3000.491199,Completed,46
06-01-2023,ATM_8,Transaction,Routine Maintenance,,Failed,25
06-01-2023,ATM_8,Cash Replenishment,Card Reader Error,,Failed,14
06-01-2023,ATM_8,Error,Routine Maintenance,,Failed,43
06-01-2023,ATM_8,Error,Card Reader Error,,Failed,26
06-01-2023,ATM_9,Maintenance,Cash Loaded,977.9256606,Completed,8
06-01-2023,ATM_9,Error,Card Reader Error,1058.321639,Pending,12
06-01-2023,ATM_10,Transaction,Card Reader Error,768.5873668,Failed,34
07-01-2023,ATM_1,Transaction,Successful Transaction,,Failed,30
07-01-2023,ATM_1,Maintenance,Card Reader Error,,Completed,25
07-01-2023,ATM_1,Error,Dispensing Error,4094.526155,Pending,18
07-01-2023,ATM_1,Maintenance,Card Reader Error,3419.151717,Pending,25
07-01-2023,ATM_2,Error,Cash Loaded,3198.899766,Failed,57
07-01-2023,ATM_2,Transaction,Card Reader Error,,Completed,36
07-01-2023,ATM_2,Error,Routine Maintenance,2838.322027,Failed,48
07-01-2023,ATM_2,Error,Cash Loaded,,Completed,34
07-01-2023,ATM_2,Cash Replenishment,Dispensing Error,3403.012795,Pending,34
07-01-2023,ATM_3,Error,Dispensing Error,3494.927025,Failed,21
07-01-2023,ATM_3,Transaction,Successful Transaction,2311.205429,Failed,19
07-01-2023,ATM_3,Cash Replenishment,Cash Loaded,,Pending,35
07-01-2023,ATM_3,Transaction,Dispensing Error,,Pending,36
07-01-2023,ATM_3,Maintenance,Dispensing Error,1204.553789,Completed,58
07-01-2023,ATM_4,Transaction,Dispensing Error,4771.869676,Pending,35
07-01-2023,ATM_4,Maintenance,Successful Transaction,,Completed,60
07-01-2023,ATM_4,Cash Replenishment,Card Reader Error,4799.075699,Completed,58
07-01-2023,ATM_4,Error,Dispensing Error,622.5906105,Pending,24
07-01-2023,ATM_5,Maintenance,Dispensing Error,,Pending,34
07-01-2023,ATM_5,Error,Cash Loaded,,Failed,8
07-01-2023,ATM_6,Transaction,Card Reader Error,,Pending,59
07-01-2023,ATM_7,Error,Cash Loaded,,Failed,8
07-01-2023,ATM_8,Transaction,Card Reader Error,,Failed,54
07-01-2023,ATM_8,Cash Replenishment,Routine Maintenance,3495.657326,Pending,48
07-01-2023,ATM_8,Cash Replenishment,Dispensing Error,3924.314384,Failed,14
07-01-2023,ATM_8,Error,Card Reader Error,,Pending,31
07-01-2023,ATM_9,Maintenance,Routine Maintenance,,Failed,32
07-01-2023,ATM_9,Error,Dispensing Error,,Failed,33
07-01-2023,ATM_10,Transaction,Successful Transaction,4613.449126,Failed,6
08-01-2023,ATM_1,Cash Replenishment,Routine Maintenance,4167.380571,Pending,49
08-01-2023,ATM_1,Error,Successful Transaction,,Completed,57
08-01-2023,ATM_1,Cash Replenishment,Card Reader Error,1420.742455,Pending,14
08-01-2023,ATM_2,Maintenance,Cash Loaded,1328.954774,Pending,56
08-01-2023,ATM_2,Cash Replenishment,Dispensing Error,2087.804589,Completed,57
08-01-2023,ATM_2,Cash Replenishment,Dispensing Error,,Completed,36
08-01-2023,ATM_2,Transaction,Cash Loaded,2762.252972,Pending,26
08-01-2023,ATM_3,Maintenance,Cash Loaded,,Completed,11
08-01-2023,ATM_3,Transaction,Successful Transaction,4573.671106,Failed,57
08-01-2023,ATM_4,Cash Replenishment,Successful Transaction,2035.868167,Pending,50
08-01-2023,ATM_4,Maintenance,Cash Loaded,,Completed,20
08-01-2023,ATM_4,Maintenance,Cash Loaded,,Completed,8
08-01-2023,ATM_5,Error,Routine Maintenance,,Pending,12
08-01-2023,ATM_5,Error,Dispensing Error,,Completed,11
08-01-2023,ATM_5,Error,Card Reader Error,1771.959876,Completed,24
08-01-2023,ATM_5,Maintenance,Successful Transaction,1293.341619,Pending,23
08-01-2023,ATM_6,Maintenance,Successful Transaction,1829.635754,Completed,39
08-01-2023,ATM_6,Error,Card Reader Error,852.1329713,Pending,52
08-01-2023,ATM_6,Cash Replenishment,Cash Loaded,2112.325165,Pending,26
08-01-2023,ATM_6,Cash Replenishment,Dispensing Error,868.7185587,Pending,36
08-01-2023,ATM_6,Cash Replenishment,Routine Maintenance,1631.901428,Completed,39
08-01-2023,ATM_7,Transaction,Dispensing Error,3870.458033,Pending,12
08-01-2023,ATM_7,Cash Replenishment,Dispensing Error,,Failed,6
08-01-2023,ATM_7,Cash Replenishment,Successful Transaction,985.394542,Completed,8
08-01-2023,ATM_7,Cash Replenishment,Routine Maintenance,,Failed,45
08-01-2023,ATM_8,Cash Replenishment,Cash Loaded,,Pending,22
08-01-2023,ATM_8,Transaction,Successful Transaction,4622.037687,Completed,8
08-01-2023,ATM_8,Maintenance,Routine Maintenance,,Failed,55
08-01-2023,ATM_8,Transaction,Successful Transaction,338.6164942,Pending,39
08-01-2023,ATM_9,Error,Dispensing Error,,Failed,46
08-01-2023,ATM_10,Transaction,Card Reader Error,443.9755724,Completed,58
08-01-2023,ATM_10,Error,Dispensing Error,,Failed,29
08-01-2023,ATM_10,Cash Replenishment,Card Reader Error,3138.699666,Pending,22
08-01-2023,ATM_10,Transaction,Card Reader Error,,Failed,7
08-01-2023,ATM_10,Maintenance,Routine Maintenance,3038.482391,Completed,54
09-01-2023,ATM_1,Maintenance,Dispensing Error,1040.833796,Pending,12
09-01-2023,ATM_2,Cash Replenishment,Routine Maintenance,,Completed,30
09-01-2023,ATM_2,Maintenance,Dispensing Error,,Completed,18
09-01-2023,ATM_2,Error,Dispensing Error,,Pending,53
09-01-2023,ATM_3,Transaction,Cash Loaded,4831.31057,Pending,52
09-01-2023,ATM_3,Transaction,Routine Maintenance,,Failed,47
09-01-2023,ATM_3,Maintenance,Routine Maintenance,1741.924249,Completed,43
09-01-2023,ATM_3,Maintenance,Card Reader Error,1953.343665,Pending,45
09-01-2023,ATM_3,Maintenance,Successful Transaction,,Completed,26
09-01-2023,ATM_4,Transaction,Dispensing Error,,Pending,9
09-01-2023,ATM_4,Maintenance,Routine Maintenance,,Completed,45
09-01-2023,ATM_4,Error,Routine Maintenance,1179.418692,Pending,53
09-01-2023,ATM_4,Maintenance,Card Reader Error,2869.91128,Completed,48
09-01-2023,ATM_5,Maintenance,Dispensing Error,,Failed,43
09-01-2023,ATM_5,Error,Card Reader Error,,Completed,48
09-01-2023,ATM_5,Maintenance,Successful Transaction,,Completed,43
09-01-2023,ATM_5,Cash Replenishment,Successful Transaction,2241.328258,Failed,21
09-01-2023,ATM_6,Transaction,Routine Maintenance,,Failed,7
09-01-2023,ATM_7,Error,Routine Maintenance,,Completed,43
09-01-2023,ATM_7,Cash Replenishment,Dispensing Error,,Failed,30
09-01-2023,ATM_7,Cash Replenishment,Card Reader Error,2162.346286,Completed,21
09-01-2023,ATM_7,Error,Card Reader Error,234.9285549,Completed,46
09-01-2023,ATM_8,Transaction,Card Reader Error,,Failed,11
09-01-2023,ATM_8,Error,Card Reader Error,2685.12394,Completed,40
09-01-2023,ATM_9,Maintenance,Dispensing Error,3843.880802,Pending,18
09-01-2023,ATM_9,Error,Routine Maintenance,958.7671917,Completed,33
09-01-2023,ATM_10,Cash Replenishment,Cash Loaded,,Failed,9
09-01-2023,ATM_10,Transaction,Successful Transaction,4556.278576,Failed,44
09-01-2023,ATM_10,Error,Card Reader Error,,Pending,19
09-01-2023,ATM_10,Error,Cash Loaded,1122.476628,Pending,38
09-01-2023,ATM_10,Error,Cash Loaded,4515.628628,Pending,25
10-01-2023,ATM_1,Cash Replenishment,Cash Loaded,,Completed,28
10-01-2023,ATM_1,Maintenance,Routine Maintenance,229.4465023,Pending,32
10-01-2023,ATM_2,Error,Routine Maintenance,,Pending,54
10-01-2023,ATM_2,Maintenance,Routine Maintenance,1788.203597,Failed,39
10-01-2023,ATM_2,Cash Replenishment,Routine Maintenance,,Pending,57
10-01-2023,ATM_2,Cash Replenishment,Dispensing Error,1354.593251,Failed,51
10-01-2023,ATM_3,Transaction,Routine Maintenance,,Failed,52
10-01-2023,ATM_4,Transaction,Routine Maintenance,3496.477882,Pending,59
10-01-2023,ATM_4,Maintenance,Cash Loaded,2723.824961,Completed,8
10-01-2023,ATM_4,Maintenance,Successful Transaction,742.4457516,Completed,32
10-01-2023,ATM_5,Transaction,Card Reader Error,2200.658647,Pending,28
10-01-2023,ATM_5,Cash Replenishment,Card Reader Error,,Pending,57
10-01-2023,ATM_6,Transaction,Card Reader Error,,Completed,50
10-01-2023,ATM_6,Error,Dispensing Error,,Failed,42
10-01-2023,ATM_6,Maintenance,Routine Maintenance,,Completed,10
10-01-2023,ATM_6,Error,Card Reader Error,,Failed,5
10-01-2023,ATM_7,Maintenance,Cash Loaded,,Failed,29
10-01-2023,ATM_7,Error,Cash Loaded,,Completed,43
10-01-2023,ATM_7,Error,Cash Loaded,4584.242214,Failed,28
10-01-2023,ATM_8,Maintenance,Dispensing Error,2207.592225,Pending,59
10-01-2023,ATM_8,Maintenance,Successful Transaction,1152.094511,Completed,55
10-01-2023,ATM_8,Error,Card Reader Error,1296.04163,Failed,34
10-01-2023,ATM_8,Maintenance,Cash Loaded,,Failed,38
10-01-2023,ATM_9,Error,Cash Loaded,,Completed,23
10-01-2023,ATM_9,Transaction,Cash Loaded,2539.703534,Completed,42
10-01-2023,ATM_9,Maintenance,Card Reader Error,,Pending,13
10-01-2023,ATM_9,Maintenance,Routine Maintenance,2432.695244,Failed,57
10-01-2023,ATM_9,Transaction,Successful Transaction,,Completed,6
10-01-2023,ATM_10,Maintenance,Successful Transaction,,Failed,14
10-01-2023,ATM_10,Maintenance,Cash Loaded,2555.2458,Failed,21
10-01-2023,ATM_10,Maintenance,Card Reader Error,,Pending,34
10-01-2023,ATM_10,Error,Successful Transaction,2601.776944,Failed,17
10-01-2023,ATM_10,Error,Routine Maintenance,,Failed,60
11-01-2023,ATM_1,Transaction,Cash Loaded,1893.799066,Pending,41
11-01-2023,ATM_1,Cash Replenishment,Dispensing Error,3087.148907,Pending,34
11-01-2023,ATM_1,Error,Cash Loaded,4067.562701,Completed,52
11-01-2023,ATM_1,Maintenance,Successful Transaction,3644.390002,Failed,28
11-01-2023,ATM_1,Maintenance,Card Reader Error,,Pending,39
11-01-2023,ATM_2,Transaction,Successful Transaction,4786.556356,Pending,40
11-01-2023,ATM_2,Error,Successful Transaction,2362.858099,Pending,34
11-01-2023,ATM_2,Cash Replenishment,Routine Maintenance,,Pending,34
11-01-2023,ATM_2,Error,Cash Loaded,,Failed,59
11-01-2023,ATM_3,Cash Replenishment,Routine Maintenance,,Completed,43
11-01-2023,ATM_3,Cash Replenishment,Cash Loaded,,Pending,21
11-01-2023,ATM_3,Error,Card Reader Error,983.8960671,Completed,48
11-01-2023,ATM_4,Error,Dispensing Error,,Failed,52
11-01-2023,ATM_4,Error,Cash Loaded,,Pending,23
11-01-2023,ATM_4,Transaction,Cash Loaded,,Failed,14
11-01-2023,ATM_4,Transaction,Card Reader Error,4310.796271,Pending,33
11-01-2023,ATM_5,Transaction,Successful Transaction,3780.532725,Failed,7
11-01-2023,ATM_5,Maintenance,Dispensing Error,2145.373591,Pending,30
11-01-2023,ATM_5,Transaction,Routine Maintenance,,Pending,49
11-01-2023,ATM_6,Transaction,Cash Loaded,,Completed,39
11-01-2023,ATM_7,Cash Replenishment,Cash Loaded,,Failed,16
11-01-2023,ATM_7,Error,Cash Loaded,1341.032643,Completed,34
11-01-2023,ATM_7,Transaction,Cash Loaded,,Failed,23
11-01-2023,ATM_7,Error,Successful Transaction,2117.704477,Pending,44
11-01-2023,ATM_8,Error,Successful Transaction,,Pending,35
11-01-2023,ATM_8,Cash Replenishment,Cash Loaded,2009.657197,Pending,9
11-01-2023,ATM_8,Transaction,Card Reader Error,1898.799675,Failed,38
11-01-2023,ATM_9,Maintenance,Cash Loaded,,Failed,45
11-01-2023,ATM_9,Transaction,Successful Transaction,,Pending,45
11-01-2023,ATM_9,Cash Replenishment,Dispensing Error,,Pending,49
11-01-2023,ATM_9,Error,Dispensing Error,907.916417,Failed,60
11-01-2023,ATM_9,Transaction,Successful Transaction,4359.252834,Pending,49
11-01-2023,ATM_10,Error,Card Reader Error,2547.327438,Completed,7
11-01-2023,ATM_10,Transaction,Dispensing Error,2147.852702,Completed,29
12-01-2023,ATM_1,Maintenance,Card Reader Error,,Failed,24
12-01-2023,ATM_1,Error,Card Reader Error,4972.089678,Failed,21
12-01-2023,ATM_2,Maintenance,Card Reader Error,4142.189497,Failed,23
12-01-2023,ATM_2,Error,Card Reader Error,,Failed,18
12-01-2023,ATM_3,Cash Replenishment,Cash Loaded,,Pending,56
12-01-2023,ATM_3,Transaction,Routine Maintenance,1934.360401,Completed,48
12-01-2023,ATM_3,Cash Replenishment,Routine Maintenance,,Failed,37
12-01-2023,ATM_4,Transaction,Dispensing Error,,Completed,37
12-01-2023,ATM_4,Cash Replenishment,Dispensing Error,910.5179856,Completed,18
12-01-2023,ATM_4,Maintenance,Cash Loaded,,Pending,38
12-01-2023,ATM_4,Error,Routine Maintenance,,Completed,19
12-01-2023,ATM_4,Maintenance,Cash Loaded,1727.359087,Completed,8
12-01-2023,ATM_5,Cash Replenishment,Dispensing Error,,Completed,29
12-01-2023,ATM_5,Transaction,Card Reader Error,570.975995,Pending,45
12-01-2023,ATM_6,Transaction,Dispensing Error,,Failed,53
12-01-2023,ATM_7,Transaction,Successful Transaction,,Pending,5
12-01-2023,ATM_7,Transaction,Routine Maintenance,,Completed,60
12-01-2023,ATM_7,Error,Routine Maintenance,3847.270964,Failed,30
12-01-2023,ATM_7,Transaction,Card Reader Error,4475.186699,Pending,38
12-01-2023,ATM_7,Cash Replenishment,Cash Loaded,,Failed,26
12-01-2023,ATM_8,Transaction,Successful Transaction,,Completed,57
12-01-2023,ATM_8,Transaction,Routine Maintenance,,Completed,16
12-01-2023,ATM_8,Error,Successful Transaction,,Pending,58
12-01-2023,ATM_8,Maintenance,Dispensing Error,,Completed,42
12-01-2023,ATM_8,Cash Replenishment,Cash Loaded,4838.991832,Failed,60
12-01-2023,ATM_9,Transaction,Dispensing Error,2888.280643,Pending,5
12-01-2023,ATM_9,Cash Replenishment,Cash Loaded,,Pending,12
12-01-2023,ATM_9,Maintenance,Dispensing Error,1164.515927,Completed,23
12-01-2023,ATM_10,Cash Replenishment,Card Reader Error,4241.357124,Failed,35
12-01-2023,ATM_10,Cash Replenishment,Cash Loaded,1151.74818,Completed,43
13-01-2023,ATM_1,Error,Card Reader Error,,Pending,56
13-01-2023,ATM_1,Error,Cash Loaded,3891.036286,Pending,48
13-01-2023,ATM_1,Transaction,Card Reader Error,1226.128886,Pending,44
13-01-2023,ATM_1,Maintenance,Routine Maintenance,,Failed,44
13-01-2023,ATM_1,Transaction,Dispensing Error,,Completed,8
13-01-2023,ATM_2,Error,Dispensing Error,,Completed,18
13-01-2023,ATM_2,Cash Replenishment,Successful Transaction,4251.57458,Pending,59
13-01-2023,ATM_2,Maintenance,Successful Transaction,,Failed,53
13-01-2023,ATM_2,Transaction,Successful Transaction,2764.456303,Failed,22
13-01-2023,ATM_2,Transaction,Cash Loaded,1007.537125,Completed,50
13-01-2023,ATM_3,Error,Cash Loaded,1919.777661,Pending,52
